,Data,Produto,Estado,Área Colhida (ha),Área Plantada (ha),Produção (t),Rendimento Médio (kg/ha),Temperatura Media,Precipitacao Total,Pressao Atmosferica Media,Vento Velocidade Media
54,julho 2014,1.4 Arroz,Parana,30152.0,,153981.0,5107.0,15.37,75.41,825.84,1.69
55,julho 2014,1.8 Feijao (1 Safra),Parana,239112.0,,421680.0,1764.0,15.37,75.41,825.84,1.69
56,julho 2014,1.9 Feijao (2 Safra),Parana,275137.0,,403682.0,1467.0,15.37,75.41,825.84,1.69
57,julho 2014,1.10 Feijao (3 Safra),Parana,5910.0,,6022.0,1019.0,15.37,75.41,825.84,1.69
58,julho 2014,1.13 Milho (1 Safra),Parana,668259.0,,5375565.0,8044.0,15.37,75.41,825.84,1.69
59,julho 2014,1.14 Milho (2 Safra),Parana,1901042.0,,10207352.0,5369.0,15.37,75.41,825.84,1.69
60,julho 2014,1.15 Soja,Parana,5018523.0,,14806462.0,2950.0,15.37,75.41,825.84,1.69
61,julho 2014,1.17 Trigo,Parana,1350246.0,,3982460.0,2949.0,15.37,75.41,825.84,1.69
62,julho 2014,15 Fumo,Parana,76137.0,,171673.0,2255.0,15.37,75.41,825.84,1.69
63,agosto 2014,1.4 Arroz,Parana,30152.0,,153981.0,5107.0,16.77,27.99,865.31,1.66
64,agosto 2014,1.8 Feijao (1 Safra),Parana,239112.0,,421680.0,1764.0,16.77,27.99,865.31,1.66
65,agosto 2014,1.9 Feijao (2 Safra),Parana,275137.0,,403682.0,1467.0,16.77,27.99,865.31,1.66
66,agosto 2014,1.10 Feijao (3 Safra),Parana,4917.0,,4982.0,1013.0,16.77,27.99,865.31,1.66
67,agosto 2014,1.13 Milho (1 Safra),Parana,668259.0,,5375565.0,8044.0,16.77,27.99,865.31,1.66
68,agosto 2014,1.14 Milho (2 Safra),Parana,1900264.0,,10245499.0,5392.0,16.77,27.99,865.31,1.66
69,agosto 2014,1.15 Soja,Parana,5018523.0,,14806462.0,2950.0,16.77,27.99,865.31,1.66
70,agosto 2014,1.17 Trigo,Parana,1354503.0,,3976549.0,2936.0,16.77,27.99,865.31,1.66
71,agosto 2014,15 Fumo,Parana,76137.0,,171673.0,2255.0,16.77,27.99,865.31,1.66
72,setembro 2014,1.4 Arroz,Parana,30152.0,,153981.0,5107.0,18.5,146.53,784.01,2.0
73,setembro 2014,1.8 Feijao (1 Safra),Parana,239112.0,,421680.0,1764.0,18.5,146.53,784.01,2.0
74,setembro 2014,1.9 Feijao (2 Safra),Parana,275137.0,,403682.0,1467.0,18.5,146.53,784.01,2.0
75,setembro 2014,1.10 Feijao (3 Safra),Parana,4917.0,,4982.0,1013.0,18.5,146.53,784.01,2.0
76,setembro 2014,1.13 Milho (1 Safra),Parana,668259.0,,5375565.0,8044.0,18.5,146.53,784.01,2.0
77,setembro 2014,1.14 Milho (2 Safra),Parana,1900492.0,,10350777.0,5446.0,18.5,146.53,784.01,2.0
78,setembro 2014,1.15 Soja,Parana,5018523.0,,14806462.0,2950.0,18.5,146.53,784.01,2.0
79,setembro 2014,1.17 Trigo,Parana,1354240.0,,3995536.0,2950.0,18.5,146.53,784.01,2.0
80,setembro 2014,15 Fumo,Parana,76137.0,,171673.0,2255.0,18.5,146.53,784.01,2.0
81,outubro 2014,1.4 Arroz,Parana,30152.0,,153981.0,5107.0,21.77,48.83,904.08,2.03
82,outubro 2014,1.8 Feijao (1 Safra),Parana,239112.0,,421680.0,1764.0,21.77,48.83,904.08,2.03
83,outubro 2014,1.9 Feijao (2 Safra),Parana,275137.0,,403682.0,1467.0,21.77,48.83,904.08,2.03
84,outubro 2014,1.10 Feijao (3 Safra),Parana,4917.0,,4982.0,1013.0,21.77,48.83,904.08,2.03
85,outubro 2014,1.13 Milho (1 Safra),Parana,668259.0,,5375565.0,8044.0,21.77,48.83,904.08,2.03
86,outubro 2014,1.14 Milho (2 Safra),Parana,1900492.0,,10350777.0,5446.0,21.77,48.83,904.08,2.03
87,outubro 2014,1.15 Soja,Parana,5018523.0,,14806462.0,2950.0,21.77,48.83,904.08,2.03
88,outubro 2014,1.17 Trigo,Parana,1356958.0,,3869723.0,2852.0,21.77,48.83,904.08,2.03
89,outubro 2014,15 Fumo,Parana,76137.0,,171673.0,2255.0,21.77,48.83,904.08,2.03
90,novembro 2014,1.4 Arroz,Parana,30152.0,,153981.0,5107.0,22.24,94.55,863.65,1.62
91,novembro 2014,1.8 Feijao (1 Safra),Parana,239112.0,,421680.0,1764.0,22.24,94.55,863.65,1.62
92,novembro 2014,1.9 Feijao (2 Safra),Parana,275137.0,,403682.0,1467.0,22.24,94.55,863.65,1.62
93,novembro 2014,1.10 Feijao (3 Safra),Parana,4917.0,,4982.0,1013.0,22.24,94.55,863.65,1.62
94,novembro 2014,1.13 Milho (1 Safra),Parana,668259.0,,5375565.0,8044.0,22.24,94.55,863.65,1.62
95,novembro 2014,1.14 Milho (2 Safra),Parana,1900492.0,,10350777.0,5446.0,22.24,94.55,863.65,1.62
96,novembro 2014,1.15 Soja,Parana,5018523.0,,14806462.0,2950.0,22.24,94.55,863.65,1.62
97,novembro 2014,1.17 Trigo,Parana,1359858.0,,3779374.0,2779.0,22.24,94.55,863.65,1.62
98,novembro 2014,15 Fumo,Parana,76137.0,,171673.0,2255.0,22.24,94.55,863.65,1.62
99,dezembro 2014,1.4 Arroz,Parana,30152.0,,153981.0,5107.0,22.16,112.97,858.55,1.63
100,dezembro 2014,1.8 Feijao (1 Safra),Parana,239112.0,,421680.0,1764.0,22.16,112.97,858.55,1.63
101,dezembro 2014,1.9 Feijao (2 Safra),Parana,275137.0,,403682.0,1467.0,22.16,112.97,858.55,1.63
102,dezembro 2014,1.10 Feijao (3 Safra),Parana,4917.0,,4982.0,1013.0,22.16,112.97,858.55,1.63
103,dezembro 2014,1.13 Milho (1 Safra),Parana,668259.0,,5375565.0,8044.0,22.16,112.97,858.55,1.63
104,dezembro 2014,1.14 Milho (2 Safra),Parana,1900492.0,,10350777.0,5446.0,22.16,112.97,858.55,1.63
105,dezembro 2014,1.15 Soja,Parana,5018523.0,,14806462.0,2950.0,22.16,112.97,858.55,1.63
106,dezembro 2014,1.17 Trigo,Parana,1360859.0,,3720582.0,2734.0,22.16,112.97,858.55,1.63
107,dezembro 2014,15 Fumo,Parana,76137.0,,171673.0,2255.0,22.16,112.97,858.55,1.63
108,janeiro 2015,1.4 Arroz,Parana,28200.0,,161614.0,5731.0,19.89,89.74,774.9,1.18
109,janeiro 2015,1.8 Feijao (1 Safra),Parana,193262.0,,332035.0,1718.0,19.89,89.74,774.9,1.18
110,janeiro 2015,1.9 Feijao (2 Safra),Parana,223545.0,,421154.0,1884.0,19.89,89.74,774.9,1.18
111,janeiro 2015,1.10 Feijao (3 Safra),Parana,4913.0,,5262.0,1071.0,19.89,89.74,774.9,1.18
112,janeiro 2015,1.13 Milho (1 Safra),Parana,536664.0,,4588963.0,8551.0,19.89,89.74,774.9,1.18
113,janeiro 2015,1.14 Milho (2 Safra),Parana,1868955.0,,9919722.0,5308.0,19.89,89.74,774.9,1.18
114,janeiro 2015,1.15 Soja,Parana,5180054.0,,16855853.0,3254.0,19.89,89.74,774.9,1.18
115,janeiro 2015,1.17 Trigo,Parana,1356958.0,,3869723.0,2852.0,19.89,89.74,774.9,1.18
116,janeiro 2015,15 Fumo,Parana,78289.0,,182827.0,2335.0,19.89,89.74,774.9,1.18
117,fevereiro 2015,1.4 Arroz,Parana,28320.0,,161883.0,5716.0,16.71,80.77,690.43,0.94
118,fevereiro 2015,1.8 Feijao (1 Safra),Parana,192762.0,,332147.0,1723.0,16.71,80.77,690.43,0.94
119,fevereiro 2015,1.9 Feijao (2 Safra),Parana,228545.0,,453719.0,1985.0,16.71,80.77,690.43,0.94
120,fevereiro 2015,1.10 Feijao (3 Safra),Parana,4913.0,,5262.0,1071.0,16.71,80.77,690.43,0.94
121,fevereiro 2015,1.13 Milho (1 Safra),Parana,542064.0,,4635660.0,8552.0,16.71,80.77,690.43,0.94
122,fevereiro 2015,1.14 Milho (2 Safra),Parana,1865155.0,,9953471.0,5337.0,16.71,80.77,690.43,0.94
123,fevereiro 2015,1.15 Soja,Parana,5182569.0,,16981846.0,3277.0,16.71,80.77,690.43,0.94
124,fevereiro 2015,1.17 Trigo,Parana,1356958.0,,3869723.0,2852.0,16.71,80.77,690.43,0.94
125,fevereiro 2015,15 Fumo,Parana,78289.0,,185067.0,2364.0,16.71,80.77,690.43,0.94
126,marco 2015,1.4 Arroz,Parana,28438.0,,163885.0,5763.0,18.27,75.23,649.29,0.83
127,marco 2015,1.8 Feijao (1 Safra),Parana,192762.0,,332147.0,1723.0,18.27,75.23,649.29,0.83
128,marco 2015,1.9 Feijao (2 Safra),Parana,218982.0,,430544.0,1966.0,18.27,75.23,649.29,0.83
129,marco 2015,1.10 Feijao (3 Safra),Parana,4913.0,,5262.0,1071.0,18.27,75.23,649.29,0.83
130,marco 2015,1.13 Milho (1 Safra),Parana,542483.0,,4668223.0,8605.0,18.27,75.23,649.29,0.83
131,marco 2015,1.14 Milho (2 Safra),Parana,1867226.0,,9981747.0,5346.0,18.27,75.23,649.29,0.83
