,Data,Produto,Estado,Área Colhida (ha),Área Plantada (ha),Produção (t),Rendimento Médio (kg/ha),Temperatura Media,Precipitacao Total,Pressao Atmosferica Media,Vento Velocidade Media
731,outubro 2020,1.9 Feijao (2 Safra),Parana,224900.0,,268700.0,1195.0,13.41,42.25,577.2,1.28
732,outubro 2020,1.10 Feijao (3 Safra),Parana,2000.0,,2200.0,1100.0,13.41,42.25,577.2,1.28
733,outubro 2020,1.13 Milho (1 Safra),Parana,355900.0,,3564900.0,10017.0,13.41,42.25,577.2,1.28
734,outubro 2020,1.14 Milho (2 Safra),Parana,2286000.0,,11659300.0,5100.0,13.41,42.25,577.2,1.28
735,outubro 2020,1.15 Soja,Parana,5512600.0,,20842400.0,3781.0,13.41,42.25,577.2,1.28
736,outubro 2020,1.17 Trigo,Parana,1114200.0,,3127000.0,2806.0,13.41,42.25,577.2,1.28
737,outubro 2020,15 Fumo,Parana,71300.0,,175200.0,2457.0,13.41,42.25,577.2,1.28
738,novembro 2020,1.4 Arroz,Parana,21100.0,,151600.0,7185.0,13.34,36.82,542.41,1.1
739,novembro 2020,1.8 Feijao (1 Safra),Parana,152400.0,,316200.0,2075.0,13.34,36.82,542.41,1.1
740,novembro 2020,1.9 Feijao (2 Safra),Parana,224900.0,,268700.0,1195.0,13.34,36.82,542.41,1.1
741,novembro 2020,1.10 Feijao (3 Safra),Parana,2000.0,,2200.0,1100.0,13.34,36.82,542.41,1.1
742,novembro 2020,1.13 Milho (1 Safra),Parana,355900.0,,3564900.0,10017.0,13.34,36.82,542.41,1.1
743,novembro 2020,1.14 Milho (2 Safra),Parana,2286700.0,,11661800.0,5100.0,13.34,36.82,542.41,1.1
744,novembro 2020,1.15 Soja,Parana,5512200.0,,20841100.0,3781.0,13.34,36.82,542.41,1.1
745,novembro 2020,1.17 Trigo,Parana,1122000.0,,3052800.0,2721.0,13.34,36.82,542.41,1.1
746,novembro 2020,15 Fumo,Parana,71300.0,,175200.0,2457.0,13.34,36.82,542.41,1.1
747,dezembro 2020,1.4 Arroz,Parana,21100.0,,151600.0,7185.0,10.21,62.96,428.58,0.88
748,dezembro 2020,1.8 Feijao (1 Safra),Parana,152400.0,,316200.0,2075.0,10.21,62.96,428.58,0.88
749,dezembro 2020,1.9 Feijao (2 Safra),Parana,224900.0,,268700.0,1195.0,10.21,62.96,428.58,0.88
750,dezembro 2020,1.10 Feijao (3 Safra),Parana,2000.0,,2200.0,1100.0,10.21,62.96,428.58,0.88
751,dezembro 2020,1.13 Milho (1 Safra),Parana,355900.0,,3564900.0,10017.0,10.21,62.96,428.58,0.88
752,dezembro 2020,1.14 Milho (2 Safra),Parana,2286700.0,,11661800.0,5100.0,10.21,62.96,428.58,0.88
753,dezembro 2020,1.15 Soja,Parana,5516700.0,,20871900.0,3783.0,10.21,62.96,428.58,0.88
754,dezembro 2020,1.17 Trigo,Parana,1116000.0,,3067300.0,2748.0,10.21,62.96,428.58,0.88
755,dezembro 2020,15 Fumo,Parana,71300.0,,175200.0,2457.0,10.21,62.96,428.58,0.88
756,janeiro 2021,1.4 Arroz,Parana,21100.0,,147500.0,6991.0,10.01,116.92,462.71,0.88
757,janeiro 2021,1.8 Feijao (1 Safra),Parana,151400.0,,283900.0,1875.0,10.01,116.92,462.71,0.88
758,janeiro 2021,1.9 Feijao (2 Safra),Parana,227200.0,,468800.0,2063.0,10.01,116.92,462.71,0.88
759,janeiro 2021,1.10 Feijao (3 Safra),Parana,2500.0,,3000.0,1200.0,10.01,116.92,462.71,0.88
760,janeiro 2021,1.13 Milho (1 Safra),Parana,358700.0,,3365200.0,9382.0,10.01,116.92,462.71,0.88
761,janeiro 2021,1.14 Milho (2 Safra),Parana,2365500.0,,13582800.0,5742.0,10.01,116.92,462.71,0.88
762,janeiro 2021,1.15 Soja,Parana,5617100.0,,20500700.0,3650.0,10.01,116.92,462.71,0.88
763,janeiro 2021,1.17 Trigo,Parana,1028400.0,,2144000.0,2085.0,10.01,116.92,462.71,0.88
764,janeiro 2021,15 Fumo,Parana,65300.0,,152900.0,2342.0,10.01,116.92,462.71,0.88
765,fevereiro 2021,1.4 Arroz,Parana,21100.0,,148400.0,7033.0,10.07,18.53,429.76,0.78
766,fevereiro 2021,1.8 Feijao (1 Safra),Parana,151700.0,,254600.0,1678.0,10.07,18.53,429.76,0.78
767,fevereiro 2021,1.9 Feijao (2 Safra),Parana,233200.0,,460900.0,1976.0,10.07,18.53,429.76,0.78
768,fevereiro 2021,1.10 Feijao (3 Safra),Parana,2000.0,,2200.0,1100.0,10.07,18.53,429.76,0.78
769,fevereiro 2021,1.13 Milho (1 Safra),Parana,359700.0,,3171000.0,8816.0,10.07,18.53,429.76,0.78
770,fevereiro 2021,1.14 Milho (2 Safra),Parana,2375100.0,,13553000.0,5706.0,10.07,18.53,429.76,0.78
771,fevereiro 2021,1.15 Soja,Parana,5616300.0,,20449000.0,3641.0,10.07,18.53,429.76,0.78
772,fevereiro 2021,1.17 Trigo,Parana,1123300.0,,3120200.0,2778.0,10.07,18.53,429.76,0.78
773,fevereiro 2021,15 Fumo,Parana,65200.0,,147800.0,2267.0,10.07,18.53,429.76,0.78
774,marco 2021,1.4 Arroz,Parana,21100.0,,148600.0,7043.0,8.57,42.92,359.28,0.62
775,marco 2021,1.8 Feijao (1 Safra),Parana,152300.0,,255400.0,1677.0,8.57,42.92,359.28,0.62
776,marco 2021,1.9 Feijao (2 Safra),Parana,251200.0,,491200.0,1955.0,8.57,42.92,359.28,0.62
777,marco 2021,1.10 Feijao (3 Safra),Parana,2000.0,,2200.0,1100.0,8.57,42.92,359.28,0.62
778,marco 2021,1.13 Milho (1 Safra),Parana,362700.0,,3072800.0,8472.0,8.57,42.92,359.28,0.62
779,marco 2021,1.14 Milho (2 Safra),Parana,2387400.0,,13382700.0,5606.0,8.57,42.92,359.28,0.62
780,marco 2021,1.15 Soja,Parana,5620500.0,,20196400.0,3593.0,8.57,42.92,359.28,0.62
781,marco 2021,1.17 Trigo,Parana,1142000.0,,3734900.0,3270.0,8.57,42.92,359.28,0.62
782,marco 2021,15 Fumo,Parana,65200.0,,147300.0,2259.0,8.57,42.92,359.28,0.62
783,abril 2021,1.4 Arroz,Parana,21100.0,,151100.0,7161.0,7.95,8.05,395.54,0.71
784,abril 2021,1.8 Feijao (1 Safra),Parana,152600.0,,256900.0,1683.0,7.95,8.05,395.54,0.71
785,abril 2021,1.9 Feijao (2 Safra),Parana,252100.0,,394100.0,1563.0,7.95,8.05,395.54,0.71
786,abril 2021,1.10 Feijao (3 Safra),Parana,1900.0,,2100.0,1105.0,7.95,8.05,395.54,0.71
787,abril 2021,1.13 Milho (1 Safra),Parana,372000.0,,3120100.0,8387.0,7.95,8.05,395.54,0.71
788,abril 2021,1.14 Milho (2 Safra),Parana,2494100.0,,12230000.0,4904.0,7.95,8.05,395.54,0.71
789,abril 2021,1.15 Soja,Parana,5622500.0,,19890100.0,3538.0,7.95,8.05,395.54,0.71
790,abril 2021,1.17 Trigo,Parana,1158100.0,,3799800.0,3281.0,7.95,8.05,395.54,0.71
791,abril 2021,15 Fumo,Parana,65300.0,,147500.0,2259.0,7.95,8.05,395.54,0.71
792,maio 2021,1.4 Arroz,Parana,21100.0,,155200.0,7355.0,6.15,27.69,395.63,0.65
793,maio 2021,1.8 Feijao (1 Safra),Parana,152600.0,,256400.0,1680.0,6.15,27.69,395.63,0.65
794,maio 2021,1.9 Feijao (2 Safra),Parana,254300.0,,309500.0,1217.0,6.15,27.69,395.63,0.65
795,maio 2021,1.10 Feijao (3 Safra),Parana,1900.0,,2100.0,1105.0,6.15,27.69,395.63,0.65
796,maio 2021,1.13 Milho (1 Safra),Parana,372000.0,,3116700.0,8378.0,6.15,27.69,395.63,0.65
797,maio 2021,1.14 Milho (2 Safra),Parana,2494100.0,,10298000.0,4129.0,6.15,27.69,395.63,0.65
798,maio 2021,1.15 Soja,Parana,5623600.0,,19887300.0,3536.0,6.15,27.69,395.63,0.65
799,maio 2021,1.17 Trigo,Parana,1169700.0,,3820600.0,3266.0,6.15,27.69,395.63,0.65
800,maio 2021,15 Fumo,Parana,65200.0,,147400.0,2261.0,6.15,27.69,395.63,0.65
801,junho 2021,1.4 Arroz,Parana,21100.0,,155200.0,7355.0,5.05,27.85,322.82,0.57
802,junho 2021,1.8 Feijao (1 Safra),Parana,152300.0,,256500.0,1684.0,5.05,27.85,322.82,0.57
803,junho 2021,1.9 Feijao (2 Safra),Parana,254300.0,,270600.0,1064.0,5.05,27.85,322.82,0.57
804,junho 2021,1.10 Feijao (3 Safra),Parana,1600.0,,2000.0,1250.0,5.05,27.85,322.82,0.57
805,junho 2021,1.13 Milho (1 Safra),Parana,372000.0,,3103900.0,8344.0,5.05,27.85,322.82,0.57
806,junho 2021,1.14 Milho (2 Safra),Parana,2519400.0,,9821100.0,3898.0,5.05,27.85,322.82,0.57
807,junho 2021,1.15 Soja,Parana,5629600.0,,19873500.0,3530.0,5.05,27.85,322.82,0.57
808,junho 2021,1.17 Trigo,Parana,1183300.0,,3870900.0,3271.0,5.05,27.85,322.82,0.57
809,junho 2021,15 Fumo,Parana,65200.0,,146700.0,2250.0,5.05,27.85,322.82,0.57
810,julho 2021,1.4 Arroz,Parana,21100.0,,155200.0,7355.0,4.04,10.96,288.21,0.56
811,julho 2021,1.8 Feijao (1 Safra),Parana,152600.0,,257000.0,1684.0,4.04,10.96,288.21,0.56
812,julho 2021,1.9 Feijao (2 Safra),Parana,271200.0,,282300.0,1041.0,4.04,10.96,288.21,0.56
813,julho 2021,1.10 Feijao (3 Safra),Parana,1600.0,,1200.0,750.0,4.04,10.96,288.21,0.56
814,julho 2021,1.13 Milho (1 Safra),Parana,370600.0,,3803700.0,10264.0,4.04,10.96,288.21,0.56
815,julho 2021,1.14 Milho (2 Safra),Parana,2505800.0,,6110100.0,2438.0,4.04,10.96,288.21,0.56
816,julho 2021,1.15 Soja,Parana,5634900.0,,19894400.0,3531.0,4.04,10.96,288.21,0.56
817,julho 2021,1.17 Trigo,Parana,1192800.0,,3887600.0,3259.0,4.04,10.96,288.21,0.56
818,julho 2021,15 Fumo,Parana,65200.0,,146700.0,2250.0,4.04,10.96,288.21,0.56
819,agosto 2021,1.4 Arroz,Parana,21100.0,,155800.0,7384.0,5.88,20.53,323.03,0.68
820,agosto 2021,1.8 Feijao (1 Safra),Parana,152600.0,,257000.0,1684.0,5.88,20.53,323.03,0.68
821,agosto 2021,1.9 Feijao (2 Safra),Parana,272300.0,,286000.0,1050.0,5.88,20.53,323.03,0.68
822,agosto 2021,1.10 Feijao (3 Safra),Parana,1600.0,,1100.0,688.0,5.88,20.53,323.03,0.68
823,agosto 2021,1.13 Milho (1 Safra),Parana,372500.0,,3115200.0,8363.0,5.88,20.53,323.03,0.68
824,agosto 2021,1.14 Milho (2 Safra),Parana,2518100.0,,5923700.0,2352.0,5.88,20.53,323.03,0.68
825,agosto 2021,1.15 Soja,Parana,5629100.0,,19854400.0,3527.0,5.88,20.53,323.03,0.68
826,agosto 2021,1.17 Trigo,Parana,1213000.0,,3721400.0,3068.0,5.88,20.53,323.03,0.68
827,agosto 2021,15 Fumo,Parana,65300.0,,146700.0,2247.0,5.88,20.53,323.03,0.68
828,setembro 2021,1.4 Arroz,Parana,21100.0,,156000.0,7393.0,6.75,20.9,322.0,0.73
829,setembro 2021,1.8 Feijao (1 Safra),Parana,152600.0,,257000.0,1684.0,6.75,20.9,322.0,0.73
830,setembro 2021,1.9 Feijao (2 Safra),Parana,272300.0,,286000.0,1050.0,6.75,20.9,322.0,0.73
831,setembro 2021,1.10 Feijao (3 Safra),Parana,1600.0,,1200.0,750.0,6.75,20.9,322.0,0.73
832,setembro 2021,1.13 Milho (1 Safra),Parana,372500.0,,3115200.0,8363.0,6.75,20.9,322.0,0.73
833,setembro 2021,1.14 Milho (2 Safra),Parana,2518100.0,,5526500.0,2195.0,6.75,20.9,322.0,0.73
834,setembro 2021,1.15 Soja,Parana,5629100.0,,19853900.0,3527.0,6.75,20.9,322.0,0.73
835,setembro 2021,1.17 Trigo,Parana,1210000.0,,3528400.0,2916.0,6.75,20.9,322.0,0.73
836,setembro 2021,15 Fumo,Parana,65300.0,,146700.0,2247.0,6.75,20.9,322.0,0.73
837,outubro 2021,1.4 Arroz,Parana,21100.0,,156000.0,7393.0,7.08,71.12,319.62,0.86
838,outubro 2021,1.8 Feijao (1 Safra),Parana,152600.0,,257000.0,1684.0,7.08,71.12,319.62,0.86
839,outubro 2021,1.9 Feijao (2 Safra),Parana,272300.0,,286000.0,1050.0,7.08,71.12,319.62,0.86
840,outubro 2021,1.10 Feijao (3 Safra),Parana,1500.0,,1100.0,733.0,7.08,71.12,319.62,0.86
841,outubro 2021,1.13 Milho (1 Safra),Parana,372500.0,,3115200.0,8363.0,7.08,71.12,319.62,0.86
842,outubro 2021,1.14 Milho (2 Safra),Parana,2517800.0,,5796200.0,2302.0,7.08,71.12,319.62,0.86
843,outubro 2021,1.15 Soja,Parana,5629100.0,,19853900.0,3527.0,7.08,71.12,319.62,0.86
844,outubro 2021,1.17 Trigo,Parana,1213100.0,,3239400.0,2670.0,7.08,71.12,319.62,0.86
845,outubro 2021,15 Fumo,Parana,65300.0,,146700.0,2247.0,7.08,71.12,319.62,0.86
846,novembro 2021,1.4 Arroz,Parana,21000.0,,152500.0,7262.0,11.1,24.35,469.36,0.96
847,novembro 2021,1.8 Feijao (1 Safra),Parana,152600.0,,257000.0,1684.0,11.1,24.35,469.36,0.96
848,novembro 2021,1.9 Feijao (2 Safra),Parana,272300.0,,286000.0,1050.0,11.1,24.35,469.36,0.96
849,novembro 2021,1.10 Feijao (3 Safra),Parana,1500.0,,1100.0,733.0,11.1,24.35,469.36,0.96
850,novembro 2021,1.13 Milho (1 Safra),Parana,372700.0,,3116800.0,8363.0,11.1,24.35,469.36,0.96
851,novembro 2021,1.14 Milho (2 Safra),Parana,2515100.0,,5751400.0,2287.0,11.1,24.35,469.36,0.96
852,novembro 2021,1.15 Soja,Parana,5629000.0,,19854000.0,3527.0,11.1,24.35,469.36,0.96
853,novembro 2021,1.17 Trigo,Parana,1215500.0,,3212200.0,2643.0,11.1,24.35,469.36,0.96
854,novembro 2021,15 Fumo,Parana,65300.0,,146700.0,2247.0,11.1,24.35,469.36,0.96
855,dezembro 2021,1.4 Arroz,Parana,21000.0,,152500.0,7262.0,13.63,18.25,541.67,0.93
856,dezembro 2021,1.8 Feijao (1 Safra),Parana,152600.0,,257000.0,1684.0,13.63,18.25,541.67,0.93
857,dezembro 2021,1.9 Feijao (2 Safra),Parana,272300.0,,286000.0,1050.0,13.63,18.25,541.67,0.93
858,dezembro 2021,1.10 Feijao (3 Safra),Parana,1500.0,,1100.0,733.0,13.63,18.25,541.67,0.93
859,dezembro 2021,1.13 Milho (1 Safra),Parana,372700.0,,3116800.0,8363.0,13.63,18.25,541.67,0.93
860,dezembro 2021,1.14 Milho (2 Safra),Parana,2515100.0,,5751400.0,2287.0,13.63,18.25,541.67,0.93
861,dezembro 2021,1.15 Soja,Parana,5629000.0,,19854000.0,3527.0,13.63,18.25,541.67,0.93
862,dezembro 2021,1.17 Trigo,Parana,1215500.0,,3212200.0,2643.0,13.63,18.25,541.67,0.93
863,dezembro 2021,15 Fumo,Parana,65300.0,,146700.0,2247.0,13.63,18.25,541.67,0.93
864,janeiro 2022,1.4 Arroz,Parana,21800.0,,152700.0,7005.0,12.72,78.03,504.81,0.85
865,janeiro 2022,1.8 Feijao (1 Safra),Parana,141000.0,,190400.0,1350.0,12.72,78.03,504.81,0.85
866,janeiro 2022,1.9 Feijao (2 Safra),Parana,263300.0,,519600.0,1973.0,12.72,78.03,504.81,0.85
867,janeiro 2022,1.10 Feijao (3 Safra),Parana,1500.0,,1100.0,733.0,12.72,78.03,504.81,0.85
868,janeiro 2022,1.13 Milho (1 Safra),Parana,437500.0,,2726600.0,6232.0,12.72,78.03,504.81,0.85
869,janeiro 2022,1.14 Milho (2 Safra),Parana,2576300.0,,15195300.0,5898.0,12.72,78.03,504.81,0.85
870,janeiro 2022,1.15 Soja,Parana,5728800.0,,13165100.0,2298.0,12.72,78.03,504.81,0.85
871,janeiro 2022,1.17 Trigo,Parana,1224300.0,,3223500.0,2633.0,12.72,78.03,504.81,0.85
872,janeiro 2022,15 Fumo,Parana,69700.0,,151500.0,2174.0,12.72,78.03,504.81,0.85
873,fevereiro 2022,1.4 Arroz,Parana,21600.0,,153200.0,7093.0,11.75,35.11,505.63,0.85
874,fevereiro 2022,1.8 Feijao (1 Safra),Parana,140900.0,,185800.0,1319.0,11.75,35.11,505.63,0.85
875,fevereiro 2022,1.9 Feijao (2 Safra),Parana,271800.0,,537000.0,1976.0,11.75,35.11,505.63,0.85
876,fevereiro 2022,1.10 Feijao (3 Safra),Parana,1500.0,,1100.0,733.0,11.75,35.11,505.63,0.85
877,fevereiro 2022,1.13 Milho (1 Safra),Parana,434200.0,,2764600.0,6367.0,11.75,35.11,505.63,0.85
878,fevereiro 2022,1.14 Milho (2 Safra),Parana,2632000.0,,15541400.0,5905.0,11.75,35.11,505.63,0.85
879,fevereiro 2022,1.15 Soja,Parana,5691600.0,,11764900.0,2067.0,11.75,35.11,505.63,0.85
880,fevereiro 2022,1.17 Trigo,Parana,1224200.0,,3224100.0,2634.0,11.75,35.11,505.63,0.85
881,fevereiro 2022,15 Fumo,Parana,69500.0,,151100.0,2174.0,11.75,35.11,505.63,0.85
882,marco 2022,1.4 Arroz,Parana,21668.0,,140738.0,6495.0,9.55,73.45,433.97,0.69
883,marco 2022,1.8 Feijao (1 Safra),Parana,139140.0,,194959.0,1401.0,9.55,73.45,433.97,0.69
884,marco 2022,1.9 Feijao (2 Safra),Parana,294015.0,,585578.0,1992.0,9.55,73.45,433.97,0.69
885,marco 2022,1.10 Feijao (3 Safra),Parana,1500.0,,1100.0,733.0,9.55,73.45,433.97,0.69
886,marco 2022,1.13 Milho (1 Safra),Parana,433371.0,,2892905.0,6675.0,9.55,73.45,433.97,0.69
887,marco 2022,1.14 Milho (2 Safra),Parana,2693685.0,,15709481.0,5832.0,9.55,73.45,433.97,0.69
888,marco 2022,1.15 Soja,Parana,5698769.0,,11702387.0,2053.0,9.55,73.45,433.97,0.69
889,marco 2022,1.17 Trigo,Parana,1171175.0,,3871063.0,3305.0,9.55,73.45,433.97,0.69
890,marco 2022,15 Fumo,Parana,69570.0,,153285.0,2203.0,9.55,73.45,433.97,0.69
891,abril 2022,1.4 Arroz,Parana,21668.0,,140900.0,6503.0,9.81,44.55,471.61,0.74
892,abril 2022,1.8 Feijao (1 Safra),Parana,139140.0,,195100.0,1402.0,9.81,44.55,471.61,0.74
893,abril 2022,1.9 Feijao (2 Safra),Parana,301300.0,,604900.0,2008.0,9.81,44.55,471.61,0.74
894,abril 2022,1.10 Feijao (3 Safra),Parana,1000.0,,1200.0,1200.0,9.81,44.55,471.61,0.74
895,abril 2022,1.13 Milho (1 Safra),Parana,433700.0,,2941400.0,6782.0,9.81,44.55,471.61,0.74
896,abril 2022,1.14 Milho (2 Safra),Parana,2701100.0,,16008500.0,5927.0,9.81,44.55,471.61,0.74
897,abril 2022,1.15 Soja,Parana,5702400.0,,11967800.0,2099.0,9.81,44.55,471.61,0.74
898,abril 2022,1.17 Trigo,Parana,1167300.0,,3859300.0,3306.0,9.81,44.55,471.61,0.74
899,abril 2022,15 Fumo,Parana,69570.0,,153285.0,2203.0,9.81,44.55,471.61,0.74
900,maio 2022,1.4 Arroz,Parana,21668.0,,133300.0,6152.0,8.67,28.71,503.82,0.85
901,maio 2022,1.8 Feijao (1 Safra),Parana,139300.0,,195600.0,1404.0,8.67,28.71,503.82,0.85
902,maio 2022,1.9 Feijao (2 Safra),Parana,303300.0,,601900.0,1985.0,8.67,28.71,503.82,0.85
903,maio 2022,1.10 Feijao (3 Safra),Parana,1000.0,,1200.0,1200.0,8.67,28.71,503.82,0.85
904,maio 2022,1.13 Milho (1 Safra),Parana,432900.0,,2969800.0,6860.0,8.67,28.71,503.82,0.85
905,maio 2022,1.14 Milho (2 Safra),Parana,2732700.0,,16005100.0,5857.0,8.67,28.71,503.82,0.85
906,maio 2022,1.15 Soja,Parana,5704200.0,,12170100.0,2134.0,8.67,28.71,503.82,0.85
907,maio 2022,1.17 Trigo,Parana,1172600.0,,3879700.0,3309.0,8.67,28.71,503.82,0.85
908,maio 2022,15 Fumo,Parana,69570.0,,154600.0,2222.0,8.67,28.71,503.82,0.85
909,junho 2022,1.4 Arroz,Parana,21668.0,,142000.0,6553.0,7.19,22.56,363.22,0.64
910,junho 2022,1.8 Feijao (1 Safra),Parana,139300.0,,195600.0,1404.0,7.19,22.56,363.22,0.64
911,junho 2022,1.9 Feijao (2 Safra),Parana,318600.0,,556700.0,1747.0,7.19,22.56,363.22,0.64
912,junho 2022,1.10 Feijao (3 Safra),Parana,500.0,,500.0,1000.0,7.19,22.56,363.22,0.64
913,junho 2022,1.13 Milho (1 Safra),Parana,431700.0,,2970700.0,6881.0,7.19,22.56,363.22,0.64
914,junho 2022,1.14 Milho (2 Safra),Parana,2718700.0,,15447300.0,5682.0,7.19,22.56,363.22,0.64
915,junho 2022,1.15 Soja,Parana,5702200.0,,12189300.0,2138.0,7.19,22.56,363.22,0.64
916,junho 2022,1.17 Trigo,Parana,1166100.0,,3856000.0,3307.0,7.19,22.56,363.22,0.64
917,junho 2022,15 Fumo,Parana,69800.0,,155100.0,2222.0,7.19,22.56,363.22,0.64
918,julho 2022,1.4 Arroz,Parana,21668.0,,143700.0,6632.0,6.97,3.44,360.07,0.55
919,julho 2022,1.8 Feijao (1 Safra),Parana,139300.0,,195600.0,1404.0,6.97,3.44,360.07,0.55
920,julho 2022,1.9 Feijao (2 Safra),Parana,338300.0,,561000.0,1658.0,6.97,3.44,360.07,0.55
921,julho 2022,1.10 Feijao (3 Safra),Parana,400.0,,500.0,1250.0,6.97,3.44,360.07,0.55
922,julho 2022,1.13 Milho (1 Safra),Parana,432000.0,,2973200.0,6882.0,6.97,3.44,360.07,0.55
923,julho 2022,1.14 Milho (2 Safra),Parana,2718700.0,,14659600.0,5392.0,6.97,3.44,360.07,0.55
924,julho 2022,1.15 Soja,Parana,5705900.0,,12218100.0,2141.0,6.97,3.44,360.07,0.55
925,julho 2022,1.17 Trigo,Parana,1171000.0,,3901700.0,3332.0,6.97,3.44,360.07,0.55
926,julho 2022,15 Fumo,Parana,69800.0,,155200.0,2223.0,6.97,3.44,360.07,0.55
927,agosto 2022,1.4 Arroz,Parana,21668.0,,143700.0,6632.0,7.11,31.08,323.9,0.68
928,agosto 2022,1.8 Feijao (1 Safra),Parana,139300.0,,195600.0,1404.0,7.11,31.08,323.9,0.68
929,agosto 2022,1.9 Feijao (2 Safra),Parana,338300.0,,560400.0,1657.0,7.11,31.08,323.9,0.68
930,agosto 2022,1.10 Feijao (3 Safra),Parana,400.0,,400.0,1000.0,7.11,31.08,323.9,0.68
931,agosto 2022,1.13 Milho (1 Safra),Parana,432000.0,,2961900.0,6856.0,7.11,31.08,323.9,0.68
932,agosto 2022,1.14 Milho (2 Safra),Parana,2717900.0,,13823400.0,5086.0,7.11,31.08,323.9,0.68
933,agosto 2022,1.15 Soja,Parana,5720500.0,,12193600.0,2132.0,7.11,31.08,323.9,0.68
934,agosto 2022,1.17 Trigo,Parana,1175700.0,,3890800.0,3309.0,7.11,31.08,323.9,0.68
935,agosto 2022,15 Fumo,Parana,69800.0,,155200.0,2223.0,7.11,31.08,323.9,0.68
936,setembro 2022,1.4 Arroz,Parana,21505.0,,140900.0,6552.0,9.35,88.09,507.61,1.13
937,setembro 2022,1.8 Feijao (1 Safra),Parana,139300.0,,195600.0,1404.0,9.35,88.09,507.61,1.13
938,setembro 2022,1.9 Feijao (2 Safra),Parana,338302.0,,560385.0,1656.0,9.35,88.09,507.61,1.13
939,setembro 2022,1.10 Feijao (3 Safra),Parana,430.0,,447.0,1040.0,9.35,88.09,507.61,1.13
940,setembro 2022,1.13 Milho (1 Safra),Parana,431470.0,,2961944.0,6865.0,9.35,88.09,507.61,1.13
941,setembro 2022,1.14 Milho (2 Safra),Parana,2720531.0,,13326528.0,4899.0,9.35,88.09,507.61,1.13
942,setembro 2022,1.15 Soja,Parana,5720696.0,,12185395.0,2130.0,9.35,88.09,507.61,1.13
943,setembro 2022,1.17 Trigo,Parana,1181126.0,,3794123.0,3212.0,9.35,88.09,507.61,1.13
944,setembro 2022,15 Fumo,Parana,69800.0,,155200.0,2223.0,9.35,88.09,507.61,1.13
945,outubro 2022,1.4 Arroz,Parana,21505.0,,140900.0,6552.0,11.23,180.56,542.31,1.11
946,outubro 2022,1.8 Feijao (1 Safra),Parana,139300.0,,195600.0,1404.0,11.23,180.56,542.31,1.11
947,outubro 2022,1.9 Feijao (2 Safra),Parana,338302.0,,560385.0,1656.0,11.23,180.56,542.31,1.11
948,outubro 2022,1.10 Feijao (3 Safra),Parana,600.0,,800.0,1333.0,11.23,180.56,542.31,1.11
949,outubro 2022,1.13 Milho (1 Safra),Parana,432100.0,,2963800.0,6859.0,11.23,180.56,542.31,1.11
950,outubro 2022,1.14 Milho (2 Safra),Parana,2720300.0,,13294700.0,4887.0,11.23,180.56,542.31,1.11
951,outubro 2022,1.15 Soja,Parana,5720696.0,,12185395.0,2130.0,11.23,180.56,542.31,1.11
952,outubro 2022,1.17 Trigo,Parana,1191800.0,,3567100.0,2993.0,11.23,180.56,542.31,1.11
953,outubro 2022,15 Fumo,Parana,69800.0,,155200.0,2223.0,11.23,180.56,542.31,1.11
954,novembro 2022,1.4 Arroz,Parana,21505.0,,140900.0,6552.0,12.61,59.02,612.25,1.52
955,novembro 2022,1.8 Feijao (1 Safra),Parana,139300.0,,195600.0,1404.0,12.61,59.02,612.25,1.52
956,novembro 2022,1.9 Feijao (2 Safra),Parana,338302.0,,560385.0,1656.0,12.61,59.02,612.25,1.52
957,novembro 2022,1.10 Feijao (3 Safra),Parana,600.0,,800.0,1333.0,12.61,59.02,612.25,1.52
958,novembro 2022,1.13 Milho (1 Safra),Parana,432100.0,,2963800.0,6859.0,12.61,59.02,612.25,1.52
959,novembro 2022,1.14 Milho (2 Safra),Parana,2720300.0,,13294700.0,4887.0,12.61,59.02,612.25,1.52
960,novembro 2022,1.15 Soja,Parana,5720696.0,,12185395.0,2130.0,12.61,59.02,612.25,1.52
961,novembro 2022,1.17 Trigo,Parana,1198990.0,,3386749.0,2825.0,12.61,59.02,612.25,1.52
962,novembro 2022,15 Fumo,Parana,69800.0,,155200.0,2223.0,12.61,59.02,612.25,1.52
963,dezembro 2022,1.4 Arroz,Parana,21505.0,,140900.0,6552.0,19.31,113.12,757.38,1.58
964,dezembro 2022,1.8 Feijao (1 Safra),Parana,139300.0,,195600.0,1404.0,19.31,113.12,757.38,1.58
965,dezembro 2022,1.9 Feijao (2 Safra),Parana,338302.0,,560385.0,1656.0,19.31,113.12,757.38,1.58
966,dezembro 2022,1.10 Feijao (3 Safra),Parana,600.0,,800.0,1333.0,19.31,113.12,757.38,1.58
967,dezembro 2022,1.13 Milho (1 Safra),Parana,432100.0,,2963800.0,6859.0,19.31,113.12,757.38,1.58
968,dezembro 2022,1.14 Milho (2 Safra),Parana,2720300.0,,13294700.0,4887.0,19.31,113.12,757.38,1.58
969,dezembro 2022,1.15 Soja,Parana,5720696.0,,12185395.0,2130.0,19.31,113.12,757.38,1.58
970,dezembro 2022,1.17 Trigo,Parana,1198990.0,,3386749.0,2825.0,19.31,113.12,757.38,1.58
971,dezembro 2022,15 Fumo,Parana,69800.0,,155200.0,2223.0,19.31,113.12,757.38,1.58
972,janeiro 2023,1.4 Arroz,Parana,20900.0,,156100.0,7469.0,17.52,125.97,685.1,1.25
